sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt,QL,QR,Q_chosen,UncL,UncR,dQ,dUnc
48,1,0,16,171,172,0.45,0.5,172,1,0,-594204.3675395524,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.05555555555555555,0.015306122448979591,-0.5238095238095237,0.04024943310657596
48,1,0,17,170,172,0.55,0.5,170,0,1,-594208.507700992,0.25,0.8571428571428571,0.8571428571428571,0.0375,0.015306122448979591,-0.6071428571428571,0.022193877551020407
48,1,1,0,175,178,0.6,0.55,178,1,0,-594239.7833391015,0.5,0.875,0.875,0.08333333333333333,0.012152777777777778,-0.375,0.07118055555555555
48,1,1,1,175,176,0.6,0.45,176,1,1,-594244.9125836509,0.5,0.7777777777777778,0.5,0.08333333333333333,0.01728395061728395,-0.2777777777777778,0.06604938271604938
48,1,1,2,176,178,0.45,0.55,176,0,0,-594249.4360307418,0.25,0.7777777777777778,0.25,0.0375,0.01728395061728395,-0.5277777777777778,0.02021604938271605
48,1,1,3,175,178,0.6,0.55,175,0,1,-594255.1325601508,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.05555555555555555,0.01728395061728395,-0.11111111111111116,0.0382716049382716
48,1,1,4,176,178,0.45,0.55,176,0,0,-594257.2947804006,0.6666666666666666,0.2,0.2,0.05555555555555555,0.02666666666666667,0.4666666666666666,0.028888888888888884
48,1,1,5,175,178,0.6,0.55,178,1,1,-594266.752608394,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,1,6,175,178,0.6,0.55,175,0,0,-594269.6027983848,0.3333333333333333,0.7,0.7,0.05555555555555555,0.019090909090909092,-0.36666666666666664,0.036464646464646464
48,1,1,7,176,178,0.45,0.55,178,1,1,-594276.0846060131,0.16666666666666666,0.6363636363636364,0.6363636363636364,0.01984126984126984,0.01928374655647383,-0.4696969696969697,0.0005575232847960104
48,1,1,8,176,178,0.45,0.55,178,1,1,-594282.1257164753,0.6666666666666666,0.5,0.5,0.05555555555555555,0.08333333333333333,0.16666666666666663,-0.027777777777777776
48,1,1,9,175,178,0.6,0.55,178,1,1,-594285.282988512,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.017094017094017096,0.0,0.03846153846153846
48,1,1,10,174,177,0.5,0.2,177,1,1,-594291.6686158148,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.05555555555555555,-0.3333333333333333,0.0
48,1,1,11,176,177,0.45,0.2,176,0,0,-594298.7000834612,0.16666666666666666,0.75,0.75,0.01984126984126984,0.0375,-0.5833333333333334,-0.01765873015873016
48,1,1,12,176,177,0.45,0.2,177,1,0,-594304.3194169534,0.16666666666666666,0.6,0.16666666666666666,0.01984126984126984,0.04,-0.43333333333333335,-0.02015873015873016
48,1,1,13,175,178,0.6,0.55,175,0,1,-594311.6581929269,0.6666666666666666,0.6,0.6,0.05555555555555555,0.04,0.06666666666666665,0.015555555555555552
48,1,1,14,174,175,0.5,0.6,175,1,1,-594315.9636029816,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,1,15,176,178,0.45,0.55,178,1,1,-594320.4598959534,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,1,16,176,178,0.45,0.55,176,0,0,-594322.9570115489,0.5,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.16666666666666669,0.027777777777777776
48,1,1,17,174,178,0.5,0.55,178,1,1,-594330.8961268635,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.05555555555555555,-0.16666666666666663,0.027777777777777776
48,1,1,18,176,178,0.45,0.55,178,1,1,-594335.5961241131,0.5,0.75,0.75,0.05,0.0375,-0.25,0.012500000000000004
48,1,1,19,176,177,0.45,0.2,176,0,1,-594338.7752527649,0.5,0.6,0.6,0.08333333333333333,0.04,-0.09999999999999998,0.04333333333333333
48,1,1,20,177,178,0.2,0.55,178,1,0,-594345.3488521455,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
48,1,2,0,180,182,0.6500000000000001,0.2,182,1,0,-594374.5056656458,0.5,0.5,0.5,0.05,0.08333333333333333,0.0,-0.033333333333333326
48,1,2,1,180,183,0.6500000000000001,0.5,183,1,0,-594378.060137478,0.5,0.5,0.5,0.08333333333333333,0.05,0.0,0.033333333333333326
48,1,2,2,182,183,0.2,0.5,182,0,0,-594384.486280784,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05555555555555555,0.031746031746031744,-0.3333333333333333,0.023809523809523808
48,1,2,3,180,182,0.6500000000000001,0.2,180,0,0,-594389.892542761,0.6,0.3333333333333333,0.6,0.04,0.05555555555555555,0.26666666666666666,-0.015555555555555552
48,1,2,4,180,183,0.6500000000000001,0.5,183,1,1,-594394.8494264496,0.3333333333333333,0.5,0.3333333333333333,0.05555555555555555,0.08333333333333333,-0.16666666666666669,-0.027777777777777776
48,1,2,5,182,183,0.2,0.5,183,1,1,-594398.716021275,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.031746031746031744,0.05555555555555555,0.3333333333333333,-0.023809523809523808
48,1,2,6,180,182,0.6500000000000001,0.2,180,0,1,-594403.6409395905,0.25,0.3333333333333333,0.3333333333333333,0.0375,0.05555555555555555,-0.08333333333333331,-0.018055555555555554
48,1,2,7,180,182,0.6500000000000001,0.2,182,1,0,-594408.0544419378,0.25,0.7142857142857143,0.7142857142857143,0.0375,0.025510204081632654,-0.4642857142857143,0.011989795918367345
48,1,2,8,180,182,0.6500000000000001,0.2,180,0,0,-594415.2644436144,0.25,0.625,0.25,0.0375,0.026041666666666668,-0.375,0.01145833333333333
48,1,2,9,180,182,0.6500000000000001,0.2,180,0,1,-594418.6009373375,0.25,0.5714285714285714,0.5714285714285714,0.0375,0.030612244897959183,-0.3214285714285714,0.006887755102040816
48,1,2,10,180,183,0.6500000000000001,0.5,183,1,1,-594424.2014216678,0.5,0.5,0.5,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555
